FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
,,,Afghanistan,2022-05-19 04:20:54,33.93911,67.709953,179477,7691,,,Afghanistan,461.0445639078224,4.285228747973278
,,,Albania,2022-05-19 04:20:54,41.1533,20.1683,275732,3497,,,Albania,9581.346862186392,1.2682604848185919
,,,Algeria,2022-05-19 04:20:54,28.0339,1.6596,265834,6875,,,Algeria,606.220472338594,2.586200410782669
,,,Andorra,2022-05-19 04:20:54,42.5063,1.5218,42572,153,,,Andorra,55098.68633922216,0.35939114911209247
,,,Angola,2022-05-19 04:20:54,-11.2027,17.8739,99287,1900,,,Angola,302.0939280358817,1.9136442837430883
,,,Antarctica,2022-05-19 04:20:54,-71.9499,23.347,11,0,,,Antarctica,,0.0
,,,Antigua and Barbuda,2022-05-19 04:20:54,17.0608,-61.7964,7855,138,,,Antigua and Barbuda,8021.199248427416,1.7568427753023552
,,,Argentina,2022-05-19 04:20:54,-38.4161,-63.6167,9135308,128776,,,Argentina,20212.74686792087,1.4096514315664015
,,,Armenia,2022-05-19 04:20:54,40.0691,45.0382,422917,8623,,,Armenia,14272.143205700258,2.038934353549278
,,Australian Capital Territory,Australia,2022-05-19 04:20:54,-35.4735,149.0124,122718,60,,,"Australian Capital Territory, Australia",28665.73230553609,0.04889258299515963
,,New South Wales,Australia,2022-05-19 04:20:54,-33.8688,151.2093,2481957,3022,,,"New South Wales, Australia",30573.50332594235,0.12175875730320872
,,Northern Territory,Australia,2022-05-19 04:20:54,-12.4634,130.8456,68824,46,,,"Northern Territory, Australia",28022.801302931595,0.06683714983145414
,,Queensland,Australia,2022-05-19 04:20:54,-27.4698,153.0251,1123991,961,,,"Queensland, Australia",21972.26077607272,0.08549890524034445
,,South Australia,Australia,2022-05-19 04:20:54,-34.9285,138.6007,477237,415,,,"South Australia, Australia",27169.76942783945,0.0869588904464658
,,Tasmania,Australia,2022-05-19 04:20:54,-42.8821,147.3272,154437,69,,,"Tasmania, Australia",28839.775910364147,0.044678412556576466
,,Victoria,Australia,2022-05-19 04:20:54,-37.8136,144.9631,1774979,3194,,,"Victoria, Australia",26772.33442435029,0.17994579090794877
,,Western Australia,Australia,2022-05-19 04:20:54,-31.9505,115.8605,609598,210,,,"Western Australia, Australia",23173.344484148103,0.03444893191906798
,,,Austria,2022-05-19 04:20:54,47.5162,14.5501,4258734,19840,,,Austria,47285.64132172677,0.4658661470756333
,,,Azerbaijan,2022-05-19 04:20:54,40.1431,47.5769,792685,9709,,,Azerbaijan,7818.042394968033,1.2248244889205675
,,,Bahamas,2022-05-19 04:20:54,25.025885,-78.035889,34011,801,,,Bahamas,8648.740743754577,2.35512040222281
,,,Bahrain,2022-05-19 04:20:54,26.0275,50.55,579410,1480,,,Bahrain,34051.23346906968,0.25543225004746206
,,,Bangladesh,2022-05-19 04:20:54,23.685,90.3563,1953103,29127,,,Bangladesh,1185.9313359623188,1.4913191982194487
,,,Barbados,2022-05-19 04:20:54,13.1939,-59.5432,77767,435,,,Barbados,27061.533696858765,0.5593632260470379
,,,Belarus,2022-05-19 04:20:54,53.7098,27.9534,982867,6978,,,Belarus,10401.456358610318,0.7099638099559757
,,Antwerp,Belgium,2022-05-19 04:20:54,51.2195,4.4024,660738,0,,,"Antwerp, Belgium",35562.05482710849,0.0
,,Brussels,Belgium,2022-05-19 04:20:54,50.8503,4.3517,450277,0,,,"Brussels, Belgium",37257.86939965677,0.0
,,East Flanders,Belgium,2022-05-19 04:20:54,51.0362,3.7373,552266,0,,,"East Flanders, Belgium",36451.661447965234,0.0
,,Flemish Brabant,Belgium,2022-05-19 04:20:54,50.9167,4.5833,399564,0,,,"Flemish Brabant, Belgium",34860.64518943442,0.0
,,Hainaut,Belgium,2022-05-19 04:20:54,50.5257,4.0621,457859,0,,,"Hainaut, Belgium",34060.78225556281,0.0
,,Liege,Belgium,2022-05-19 04:20:54,50.4496,5.8492,376381,0,,,"Liege, Belgium",34000.33604578895,0.0
,,Limburg,Belgium,2022-05-19 04:20:54,50.9739,5.342,306869,0,,,"Limburg, Belgium",35108.94138537014,0.0
,,Luxembourg,Belgium,2022-05-19 04:20:54,50.0547,5.4677,107212,0,,,"Luxembourg, Belgium",37666.08815407641,0.0
,,Namur,Belgium,2022-05-19 04:20:54,50.331,4.8221,178162,0,,,"Namur, Belgium",36041.47069235826,0.0
,,Unknown,Belgium,2022-05-19 04:20:54,,,56675,31675,,,"Unknown, Belgium",,55.88883987648875
,,Walloon Brabant,Belgium,2022-05-19 04:20:54,50.4,4.35,151369,0,,,"Walloon Brabant, Belgium",37504.8005569885,0.0
,,West Flanders,Belgium,2022-05-19 04:20:54,51.0536,3.1458,436921,0,,,"West Flanders, Belgium",36538.08843648917,0.0
,,,Belize,2022-05-19 04:20:54,17.1899,-88.4976,58215,677,,,Belize,14640.82631450552,1.1629305161899854
,,,Benin,2022-05-19 04:20:54,9.3077,2.3158,26952,163,,,Benin,222.31757659983776,0.6047788661323835
,,,Bhutan,2022-05-19 04:20:54,27.5142,90.4336,59574,21,,,Bhutan,7720.719739972939,0.03525027696646188
,,,Bolivia,2022-05-19 04:20:54,-16.2902,-63.5887,906462,21943,,,Bolivia,7765.439458772868,2.4207302677883904
,,,Bosnia and Herzegovina,2022-05-19 04:20:54,43.9159,17.6791,377648,15783,,,Bosnia and Herzegovina,11510.798383938138,4.179288649747914
,,,Botswana,2022-05-19 04:20:54,-22.3285,24.6849,306614,2692,,,Botswana,13038.388348482433,0.8779768699407072
,,Acre,Brazil,2022-05-19 04:20:54,-9.0238,-70.812,124970,2002,,,"Acre, Brazil",14169.978513155733,1.6019844762743058
,,Alagoas,Brazil,2022-05-19 04:20:54,-9.5713,-36.782,298578,6936,,,"Alagoas, Brazil",8946.540630804557,2.323011072483572
,,Amapa,Brazil,2022-05-19 04:20:54,0.902,-52.003,160406,2132,,,"Amapa, Brazil",18966.550829992044,1.3291273393763325
,,Amazonas,Brazil,2022-05-19 04:20:54,-3.4168,-65.8561,582514,14172,,,"Amazonas, Brazil",14054.780235569346,2.432902900187807
,,Bahia,Brazil,2022-05-19 04:20:54,-12.5797,-41.7007,1545997,29895,,,"Bahia, Brazil",10394.610014452974,1.9337036229695141
,,Ceara,Brazil,2022-05-19 04:20:54,-5.4984,-39.3206,1245485,26994,,,"Ceara, Brazil",13638.57163725496,2.167348462647081
,,Distrito Federal,Brazil,2022-05-19 04:20:54,-15.7998,-47.8645,699575,11672,,,"Distrito Federal, Brazil",23201.08859312008,1.6684415538005217
,,Espirito Santo,Brazil,2022-05-19 04:20:54,-19.1834,-40.3089,1048749,14397,,,"Espirito Santo, Brazil",26097.04751595685,1.3727784245801427
,,Goias,Brazil,2022-05-19 04:20:54,-15.827,-49.8362,1347664,26557,,,"Goias, Brazil",19201.99522566117,1.9705950444621212
,,Maranhao,Brazil,2022-05-19 04:20:54,-4.9609,-45.2744,435881,10887,,,"Maranhao, Brazil",6160.704581267956,2.497700060337569
,,Mato Grosso,Brazil,2022-05-19 04:20:54,-12.6819,-56.9211,730603,14854,,,"Mato Grosso, Brazil",20967.430877500312,2.0331151117638444
,,Mato Grosso do Sul,Brazil,2022-05-19 04:20:54,-20.7722,-54.7852,531259,10543,,,"Mato Grosso do Sul, Brazil",19117.00886582372,1.9845310855910205
,,Minas Gerais,Brazil,2022-05-19 04:20:54,-18.5122,-44.555,3374910,61437,,,"Minas Gerais, Brazil",15942.856632672128,1.82040409966488
,,Para,Brazil,2022-05-19 04:20:54,-1.9981,-54.9306,771111,18316,,,"Para, Brazil",8963.420906872303,2.3752741174746568
,,Paraiba,Brazil,2022-05-19 04:20:54,-7.24,-36.782,603591,10217,,,"Paraiba, Brazil",15021.70040917074,1.6927025088180572
,,Parana,Brazil,2022-05-19 04:20:54,-25.2521,-52.0215,2491492,43192,,,"Parana, Brazil",21790.286599818417,1.7335797184979924
,,Pernambuco,Brazil,2022-05-19 04:20:54,-8.8137,-36.9541,931106,21667,,,"Pernambuco, Brazil",9742.587451741229,2.3270175468743624
,,Piaui,Brazil,2022-05-19 04:20:54,-7.7183,-42.7289,368059,7739,,,"Piaui, Brazil",11244.530244923437,2.1026520204641104
,,Rio Grande do Norte,Brazil,2022-05-19 04:20:54,-5.4026,-36.9541,504283,8196,,,"Rio Grande do Norte, Brazil",14379.929811714375,1.625277869767571
,,Rio Grande do Sul,Brazil,2022-05-19 04:20:54,-30.0346,-51.2177,2378955,39385,,,"Rio Grande do Sul, Brazil",20909.774331013,1.6555588483178538
,,Rio de Janeiro,Brazil,2022-05-19 04:20:54,-22.9068,-43.1729,2165562,73643,,,"Rio de Janeiro, Brazil",12543.116997258549,3.400641496295188
,,Rondonia,Brazil,2022-05-19 04:20:54,-11.5057,-63.5806,403262,7213,,,"Rondonia, Brazil",22690.54284066452,1.7886634495687668
,,Roraima,Brazil,2022-05-19 04:20:54,-2.7376,-62.0751,155627,2151,,,"Roraima, Brazil",25691.155422683205,1.382150912116792
,,Santa Catarina,Brazil,2022-05-19 04:20:54,-27.2423,-50.2189,1718631,21806,,,"Santa Catarina, Brazil",23987.185664111763,1.2688005744106792
,,Sao Paulo,Brazil,2022-05-19 04:20:54,-23.5505,-46.6333,5451144,168712,,,"Sao Paulo, Brazil",11871.204039961716,3.094983364959722
,,Sergipe,Brazil,2022-05-19 04:20:54,-10.5741,-37.3857,327284,6345,,,"Sergipe, Brazil",14237.811350435204,1.9386832231334254
,,Tocantins,Brazil,2022-05-19 04:20:54,-10.1753,-48.2982,305202,4156,,,"Tocantins, Brazil",19404.195907343663,1.3617210896389933
,,,Brunei,2022-05-19 04:20:54,4.5353,114.7277,145521,221,,,Brunei,33263.235371431576,0.15186811525484295
,,,Bulgaria,2022-05-19 04:20:54,42.7339,25.4858,1162724,37071,,,Bulgaria,16733.58571594076,3.188288880250171
,,,Burkina Faso,2022-05-19 04:20:54,12.2383,-1.5616,20899,384,,,Burkina Faso,99.97953431036032,1.8374084884444233
,,,Burma,2022-05-19 04:20:54,21.9162,95.956,613182,19434,,,Burma,1126.9698981032716,3.16936896386391
,,,Burundi,2022-05-19 04:20:54,-3.3731,29.9189,41606,38,,,Burundi,349.9013227137898,0.09133298082007403
,,,Cabo Verde,2022-05-19 04:20:54,16.5388,-23.0418,56127,401,,,Cabo Verde,10095.002050403966,0.7144511554153973
,,,Cambodia,2022-05-19 04:20:54,11.55,104.9167,136262,3056,,,Cambodia,815.0142733066526,2.2427382542454977
,,,Cameroon,2022-05-19 04:20:54,3.848,11.5021,119780,1927,,,Cameroon,451.2190674976712,1.6087827684087495
,,Alberta,Canada,2022-05-19 04:20:54,53.9333,-116.5765,578291,4452,,,"Alberta, Canada",13103.826612579778,0.7698546233643615
,,British Columbia,Canada,2022-05-19 04:20:54,53.7267,-127.6476,367559,3307,,,"British Columbia, Canada",7191.64486529521,0.8997195008148352
,,Diamond Princess,Canada,2020-12-21 13:27:30,,,0,1,,,"Diamond Princess, Canada",,
,,Grand Princess,Canada,2020-12-21 13:27:30,,,13,0,,,"Grand Princess, Canada",,0.0
,,Manitoba,Canada,2022-05-19 04:20:54,53.7609,-98.8139,142875,1847,,,"Manitoba, Canada",10371.922814745662,1.2927384076990376
,,New Brunswick,Canada,2022-05-19 04:20:54,46.5653,-66.4619,64490,411,,,"New Brunswick, Canada",8268.022918154395,0.6373081097844627
,,Newfoundland and Labrador,Canada,2022-05-19 04:20:54,53.1355,-57.6604,45145,176,,,"Newfoundland and Labrador, Canada",8659.000891889558,0.3898549119503821
,,Northwest Territories,Canada,2022-05-19 04:20:54,64.8255,-124.8457,12026,22,,,"Northwest Territories,Canada",26781.57847853198,0.18293696989855313
,,Nova Scotia,Canada,2022-05-19 04:20:54,44.682,-63.7443,92380,354,,,"Nova Scotia, Canada",9451.055135929251,0.38319982680233816
,,Nunavut,Canada,2022-05-19 04:20:54,70.2998,-83.1076,3531,7,,,"Nunavut, Canada",9105.20887055183,0.19824412347776835
,,Ontario,Canada,2022-05-19 04:20:54,51.2538,-85.3232,1306208,13145,,,"Ontario, Canada",8878.625340007056,1.0063481466963913
